neighborhood,city,geoType,indicator,value,topic,type,format,order,topicOrder
Newfield,Stamford,1_neighborhood,Population in poverty,127,Income,table,",",2,19
North Stamford,Stamford,1_neighborhood,Population in poverty,382,Income,table,",",2,19
PH-Roxbury-Westover,Stamford,1_neighborhood,Population in poverty,116,Income,table,",",2,19
Ridgeway,Stamford,1_neighborhood,Population in poverty,124,Income,table,",",2,19
Shippan,Stamford,1_neighborhood,Population in poverty,92,Income,table,",",2,19
South End,Stamford,1_neighborhood,Population in poverty,1159,Income,table,",",2,19
Springdale,Stamford,1_neighborhood,Population in poverty,312,Income,table,",",2,19
Turn of River,Stamford,1_neighborhood,Population in poverty,168,Income,table,",",2,19
Waterside,Stamford,1_neighborhood,Population in poverty,1244,Income,table,",",2,19
West Side,Stamford,1_neighborhood,Population in poverty,2228,Income,table,",",2,19
Stamford,Stamford,2_city,Population in poverty,11279,Income,table,",",2,19
Fairfield County,Stamford,3_county,Population in poverty,81553,Income,table,",",2,19
Connecticut,Stamford,4_state,Population in poverty,360464,Income,table,",",2,19
Belltown,Stamford,1_neighborhood,Poverty rate,0.0502,Income,map,.0%,3,20
Cove-East Side,Stamford,1_neighborhood,Poverty rate,0.0847,Income,map,.0%,3,20
Downtown,Stamford,1_neighborhood,Poverty rate,0.142,Income,map,.0%,3,20
Glenbrook,Stamford,1_neighborhood,Poverty rate,0.0668,Income,map,.0%,3,20
Newfield,Stamford,1_neighborhood,Poverty rate,0.0373,Income,map,.0%,3,20
North Stamford,Stamford,1_neighborhood,Poverty rate,0.0264,Income,map,.0%,3,20
PH-Roxbury-Westover,Stamford,1_neighborhood,Poverty rate,0.0238,Income,map,.0%,3,20
Ridgeway,Stamford,1_neighborhood,Poverty rate,0.0267,Income,map,.0%,3,20
Shippan,Stamford,1_neighborhood,Poverty rate,0.0403,Income,map,.0%,3,20
South End,Stamford,1_neighborhood,Poverty rate,0.265,Income,map,.0%,3,20
Springdale,Stamford,1_neighborhood,Poverty rate,0.0434,Income,map,.0%,3,20
Turn of River,Stamford,1_neighborhood,Poverty rate,0.0134,Income,map,.0%,3,20
Waterside,Stamford,1_neighborhood,Poverty rate,0.213,Income,map,.0%,3,20
West Side,Stamford,1_neighborhood,Poverty rate,0.175,Income,map,.0%,3,20
Stamford,Stamford,2_city,Poverty rate,0.0892,Income,map,.0%,3,20
Fairfield County,Stamford,3_county,Poverty rate,0.0883,Income,map,.0%,3,20
Connecticut,Stamford,4_state,Poverty rate,0.104,Income,map,.0%,3,20
Belltown,Stamford,1_neighborhood,Low-income population,621,Income,table,",",4,21
Cove-East Side,Stamford,1_neighborhood,Low-income population,5193,Income,table,",",4,21
Downtown,Stamford,1_neighborhood,Low-income population,5188,Income,table,",",4,21
Glenbrook,Stamford,1_neighborhood,Low-income population,3910,Income,table,",",4,21
Newfield,Stamford,1_neighborhood,Low-income population,332,Income,table,",",4,21
North Stamford,Stamford,1_neighborhood,Low-income population,759,Income,table,",",4,21
PH-Roxbury-Westover,Stamford,1_neighborhood,Low-income population,209,Income,table,",",4,21
Ridgeway,Stamford,1_neighborhood,Low-income population,787,Income,table,",",4,21
Shippan,Stamford,1_neighborhood,Low-income population,226,Income,table,",",4,21
South End,Stamford,1_neighborhood,Low-income population,2218,Income,table,",",4,21
Springdale,Stamford,1_neighborhood,Low-income population,1600,Income,table,",",4,21
Turn of River,Stamford,1_neighborhood,Low-income population,650,Income,table,",",4,21
Waterside,Stamford,1_neighborhood,Low-income population,2627,Income,table,",",4,21
West Side,Stamford,1_neighborhood,Low-income population,5319,Income,table,",",4,21
Stamford,Stamford,2_city,Low-income population,29639,Income,table,",",4,21
Fairfield County,Stamford,3_county,Low-income population,196117,Income,table,",",4,21
Connecticut,Stamford,4_state,Low-income population,812120,Income,table,",",4,21
Belltown,Stamford,1_neighborhood,Low-income rate,0.146,Income,map,.0%,5,22
Cove-East Side,Stamford,1_neighborhood,Low-income rate,0.291,Income,map,.0%,5,22
Downtown,Stamford,1_neighborhood,Low-income rate,0.267,Income,map,.0%,5,22
Glenbrook,Stamford,1_neighborhood,Low-income rate,0.311,Income,map,.0%,5,22
Newfield,Stamford,1_neighborhood,Low-income rate,0.0975,Income,map,.0%,5,22
North Stamford,Stamford,1_neighborhood,Low-income rate,0.0524,Income,map,.0%,5,22
PH-Roxbury-Westover,Stamford,1_neighborhood,Low-income rate,0.0429,Income,map,.0%,5,22
Ridgeway,Stamford,1_neighborhood,Low-income rate,0.17,Income,map,.0%,5,22
Shippan,Stamford,1_neighborhood,Low-income rate,0.0991,Income,map,.0%,5,22
South End,Stamford,1_neighborhood,Low-income rate,0.507,Income,map,.0%,5,22
Springdale,Stamford,1_neighborhood,Low-income rate,0.222,Income,map,.0%,5,22
Turn of River,Stamford,1_neighborhood,Low-income rate,0.0517,Income,map,.0%,5,22
Waterside,Stamford,1_neighborhood,Low-income rate,0.45,Income,map,.0%,5,22
West Side,Stamford,1_neighborhood,Low-income rate,0.419,Income,map,.0%,5,22
Stamford,Stamford,2_city,Low-income rate,0.234,Income,map,.0%,5,22
Fairfield County,Stamford,3_county,Low-income rate,0.212,Income,map,.0%,5,22
Connecticut,Stamford,4_state,Low-income rate,0.233,Income,map,.0%,5,22
Belltown,Stamford,1_neighborhood,Total population,4258,Immigration,table,",",1,23
Cove-East Side,Stamford,1_neighborhood,Total population,17977,Immigration,table,",",1,23
Downtown,Stamford,1_neighborhood,Total population,19440,Immigration,table,",",1,23
Glenbrook,Stamford,1_neighborhood,Total population,12814,Immigration,table,",",1,23
Newfield,Stamford,1_neighborhood,Total population,3408,Immigration,table,",",1,23
North Stamford,Stamford,1_neighborhood,Total population,14599,Immigration,table,",",1,23
PH-Roxbury-Westover,Stamford,1_neighborhood,Total population,4972,Immigration,table,",",1,23
Ridgeway,Stamford,1_neighborhood,Total population,4678,Immigration,table,",",1,23
Shippan,Stamford,1_neighborhood,Total population,2281,Immigration,table,",",1,23
South End,Stamford,1_neighborhood,Total population,4468,Immigration,table,",",1,23
Springdale,Stamford,1_neighborhood,Total population,7229,Immigration,table,",",1,23
Turn of River,Stamford,1_neighborhood,Total population,12589,Immigration,table,",",1,23
Waterside,Stamford,1_neighborhood,Total population,5836,Immigration,table,",",1,23
West Side,Stamford,1_neighborhood,Total population,12861,Immigration,table,",",1,23
Stamford,Stamford,2_city,Total population,127410,Immigration,table,",",1,23
Fairfield County,Stamford,3_county,Total population,941618,Immigration,table,",",1,23
Connecticut,Stamford,4_state,Total population,3588570,Immigration,table,",",1,23
Belltown,Stamford,1_neighborhood,Foreign-born population,1056,Immigration,table,",",2,24
Cove-East Side,Stamford,1_neighborhood,Foreign-born population,7745,Immigration,table,",",2,24
Downtown,Stamford,1_neighborhood,Foreign-born population,8272,Immigration,table,",",2,24
Glenbrook,Stamford,1_neighborhood,Foreign-born population,4607,Immigration,table,",",2,24
Newfield,Stamford,1_neighborhood,Foreign-born population,470,Immigration,table,",",2,24
North Stamford,Stamford,1_neighborhood,Foreign-born population,2755,Immigration,table,",",2,24
PH-Roxbury-Westover,Stamford,1_neighborhood,Foreign-born population,1078,Immigration,table,",",2,24
Ridgeway,Stamford,1_neighborhood,Foreign-born population,1426,Immigration,table,",",2,24
Shippan,Stamford,1_neighborhood,Foreign-born population,408,Immigration,table,",",2,24
South End,Stamford,1_neighborhood,Foreign-born population,1606,Immigration,table,",",2,24
Springdale,Stamford,1_neighborhood,Foreign-born population,1829,Immigration,table,",",2,24
Turn of River,Stamford,1_neighborhood,Foreign-born population,3214,Immigration,table,",",2,24
Waterside,Stamford,1_neighborhood,Foreign-born population,1931,Immigration,table,",",2,24
West Side,Stamford,1_neighborhood,Foreign-born population,5990,Immigration,table,",",2,24
Stamford,Stamford,2_city,Foreign-born population,42386,Immigration,table,",",2,24
Fairfield County,Stamford,3_county,Foreign-born population,199191,Immigration,table,",",2,24
Connecticut,Stamford,4_state,Foreign-born population,503209,Immigration,table,",",2,24
Belltown,Stamford,1_neighborhood,Percent foreign-born,0.248,Immigration,map,.0%,3,25
Cove-East Side,Stamford,1_neighborhood,Percent foreign-born,0.431,Immigration,map,.0%,3,25
Downtown,Stamford,1_neighborhood,Percent foreign-born,0.426,Immigration,map,.0%,3,25
Glenbrook,Stamford,1_neighborhood,Percent foreign-born,0.359,Immigration,map,.0%,3,25
Newfield,Stamford,1_neighborhood,Percent foreign-born,0.138,Immigration,map,.0%,3,25
North Stamford,Stamford,1_neighborhood,Percent foreign-born,0.189,Immigration,map,.0%,3,25
PH-Roxbury-Westover,Stamford,1_neighborhood,Percent foreign-born,0.217,Immigration,map,.0%,3,25
Ridgeway,Stamford,1_neighborhood,Percent foreign-born,0.305,Immigration,map,.0%,3,25
Shippan,Stamford,1_neighborhood,Percent foreign-born,0.179,Immigration,map,.0%,3,25
South End,Stamford,1_neighborhood,Percent foreign-born,0.359,Immigration,map,.0%,3,25
Springdale,Stamford,1_neighborhood,Percent foreign-born,0.253,Immigration,map,.0%,3,25
Turn of River,Stamford,1_neighborhood,Percent foreign-born,0.255,Immigration,map,.0%,3,25
Waterside,Stamford,1_neighborhood,Percent foreign-born,0.331,Immigration,map,.0%,3,25
West Side,Stamford,1_neighborhood,Percent foreign-born,0.466,Immigration,map,.0%,3,25
Stamford,Stamford,2_city,Percent foreign-born,0.333,Immigration,map,.0%,3,25
Fairfield County,Stamford,3_county,Percent foreign-born,0.212,Immigration,map,.0%,3,25
Connecticut,Stamford,4_state,Percent foreign-born,0.14,Immigration,map,.0%,3,25
Belltown,Stamford,1_neighborhood,"Under 18, poverty status known",931,Income by age: children,table,",",1,26
Cove-East Side,Stamford,1_neighborhood,"Under 18, poverty status known",3738,Income by age: children,table,",",1,26
Downtown,Stamford,1_neighborhood,"Under 18, poverty status known",2862,Income by age: children,table,",",1,26
Glenbrook,Stamford,1_neighborhood,"Under 18, poverty status known",2700,Income by age: children,table,",",1,26
Newfield,Stamford,1_neighborhood,"Under 18, poverty status known",688,Income by age: children,table,",",1,26
North Stamford,Stamford,1_neighborhood,"Under 18, poverty status known",3507,Income by age: children,table,",",1,26
PH-Roxbury-Westover,Stamford,1_neighborhood,"Under 18, poverty status known",1003,Income by age: children,table,",",1,26
Ridgeway,Stamford,1_neighborhood,"Under 18, poverty status known",905,Income by age: children,table,",",1,26
Shippan,Stamford,1_neighborhood,"Under 18, poverty status known",514,Income by age: children,table,",",1,26
South End,Stamford,1_neighborhood,"Under 18, poverty status known",909,Income by age: children,table,",",1,26
Springdale,Stamford,1_neighborhood,"Under 18, poverty status known",1663,Income by age: children,table,",",1,26
Turn of River,Stamford,1_neighborhood,"Under 18, poverty status known",2662,Income by age: children,table,",",1,26
Waterside,Stamford,1_neighborhood,"Under 18, poverty status known",1326,Income by age: children,table,",",1,26
West Side,Stamford,1_neighborhood,"Under 18, poverty status known",3362,Income by age: children,table,",",1,26
Stamford,Stamford,2_city,"Under 18, poverty status known",26770,Income by age: children,table,",",1,26
Fairfield County,Stamford,3_county,"Under 18, poverty status known",219170,Income by age: children,table,",",1,26
Connecticut,Stamford,4_state,"Under 18, poverty status known",763850,Income by age: children,table,",",1,26
Belltown,Stamford,1_neighborhood,Children in poverty,68,Income by age: children,table,",",2,27
Cove-East Side,Stamford,1_neighborhood,Children in poverty,265,Income by age: children,table,",",2,27
Downtown,Stamford,1_neighborhood,Children in poverty,400,Income by age: children,table,",",2,27
Glenbrook,Stamford,1_neighborhood,Children in poverty,247,Income by age: children,table,",",2,27
Newfield,Stamford,1_neighborhood,Children in poverty,0,Income by age: children,table,",",2,27
North Stamford,Stamford,1_neighborhood,Children in poverty,46,Income by age: children,table,",",2,27
PH-Roxbury-Westover,Stamford,1_neighborhood,Children in poverty,0,Income by age: children,table,",",2,27
Ridgeway,Stamford,1_neighborhood,Children in poverty,15,Income by age: children,table,",",2,27
Shippan,Stamford,1_neighborhood,Children in poverty,6,Income by age: children,table,",",2,27
South End,Stamford,1_neighborhood,Children in poverty,338,Income by age: children,table,",",2,27
Springdale,Stamford,1_neighborhood,Children in poverty,21,Income by age: children,table,",",2,27
Turn of River,Stamford,1_neighborhood,Children in poverty,0,Income by age: children,table,",",2,27
Waterside,Stamford,1_neighborhood,Children in poverty,501,Income by age: children,table,",",2,27
West Side,Stamford,1_neighborhood,Children in poverty,765,Income by age: children,table,",",2,27
Stamford,Stamford,2_city,Children in poverty,2672,Income by age: children,table,",",2,27
Fairfield County,Stamford,3_county,Children in poverty,23736,Income by age: children,table,",",2,27
Connecticut,Stamford,4_state,Children in poverty,107690,Income by age: children,table,",",2,27
Belltown,Stamford,1_neighborhood,Child poverty rate,0.0733,Income by age: children,map,.0%,3,28
Cove-East Side,Stamford,1_neighborhood,Child poverty rate,0.0709,Income by age: children,map,.0%,3,28
Downtown,Stamford,1_neighborhood,Child poverty rate,0.14,Income by age: children,map,.0%,3,28
Glenbrook,Stamford,1_neighborhood,Child poverty rate,0.0915,Income by age: children,map,.0%,3,28
Newfield,Stamford,1_neighborhood,Child poverty rate,0,Income by age: children,map,.0%,3,28
North Stamford,Stamford,1_neighborhood,Child poverty rate,0.0131,Income by age: children,map,.0%,3,28
PH-Roxbury-Westover,Stamford,1_neighborhood,Child poverty rate,0,Income by age: children,map,.0%,3,28
Ridgeway,Stamford,1_neighborhood,Child poverty rate,0.0166,Income by age: children,map,.0%,3,28
Shippan,Stamford,1_neighborhood,Child poverty rate,0.0117,Income by age: children,map,.0%,3,28
South End,Stamford,1_neighborhood,Child poverty rate,0.372,Income by age: children,map,.0%,3,28
Springdale,Stamford,1_neighborhood,Child poverty rate,0.0123,Income by age: children,map,.0%,3,28
Turn of River,Stamford,1_neighborhood,Child poverty rate,0,Income by age: children,map,.0%,3,28
Waterside,Stamford,1_neighborhood,Child poverty rate,0.378,Income by age: children,map,.0%,3,28
West Side,Stamford,1_neighborhood,Child poverty rate,0.228,Income by age: children,map,.0%,3,28
Stamford,Stamford,2_city,Child poverty rate,0.0998,Income by age: children,map,.0%,3,28
Fairfield County,Stamford,3_county,Child poverty rate,0.108,Income by age: children,map,.0%,3,28
Connecticut,Stamford,4_state,Child poverty rate,0.141,Income by age: children,map,.0%,3,28
Belltown,Stamford,1_neighborhood,Low-income children,208,Income by age: children,table,",",4,29
Cove-East Side,Stamford,1_neighborhood,Low-income children,1292,Income by age: children,table,",",4,29
Downtown,Stamford,1_neighborhood,Low-income children,966,Income by age: children,table,",",4,29
Glenbrook,Stamford,1_neighborhood,Low-income children,1274,Income by age: children,table,",",4,29
Newfield,Stamford,1_neighborhood,Low-income children,17,Income by age: children,table,",",4,29
North Stamford,Stamford,1_neighborhood,Low-income children,173,Income by age: children,table,",",4,29
PH-Roxbury-Westover,Stamford,1_neighborhood,Low-income children,0,Income by age: children,table,",",4,29
Ridgeway,Stamford,1_neighborhood,Low-income children,153,Income by age: children,table,",",4,29
Shippan,Stamford,1_neighborhood,Low-income children,37,Income by age: children,table,",",4,29
South End,Stamford,1_neighborhood,Low-income children,681,Income by age: children,table,",",4,29
Springdale,Stamford,1_neighborhood,Low-income children,591,Income by age: children,table,",",4,29
Turn of River,Stamford,1_neighborhood,Low-income children,91,Income by age: children,table,",",4,29
Waterside,Stamford,1_neighborhood,Low-income children,880,Income by age: children,table,",",4,29
West Side,Stamford,1_neighborhood,Low-income children,1795,Income by age: children,table,",",4,29
Stamford,Stamford,2_city,Low-income children,8158,Income by age: children,table,",",4,29
Fairfield County,Stamford,3_county,Low-income children,56535,Income by age: children,table,",",4,29
Connecticut,Stamford,4_state,Low-income children,229817,Income by age: children,table,",",4,29
Belltown,Stamford,1_neighborhood,Child low-income rate,0.223,Income by age: children,map,.0%,5,30
Cove-East Side,Stamford,1_neighborhood,Child low-income rate,0.346,Income by age: children,map,.0%,5,30
Downtown,Stamford,1_neighborhood,Child low-income rate,0.338,Income by age: children,map,.0%,5,30
Glenbrook,Stamford,1_neighborhood,Child low-income rate,0.472,Income by age: children,map,.0%,5,30
Newfield,Stamford,1_neighborhood,Child low-income rate,0.0247,Income by age: children,map,.0%,5,30
North Stamford,Stamford,1_neighborhood,Child low-income rate,0.0493,Income by age: children,map,.0%,5,30
PH-Roxbury-Westover,Stamford,1_neighborhood,Child low-income rate,0,Income by age: children,map,.0%,5,30
Ridgeway,Stamford,1_neighborhood,Child low-income rate,0.169,Income by age: children,map,.0%,5,30
Shippan,Stamford,1_neighborhood,Child low-income rate,0.072,Income by age: children,map,.0%,5,30
South End,Stamford,1_neighborhood,Child low-income rate,0.749,Income by age: children,map,.0%,5,30
Springdale,Stamford,1_neighborhood,Child low-income rate,0.355,Income by age: children,map,.0%,5,30
Turn of River,Stamford,1_neighborhood,Child low-income rate,0.0342,Income by age: children,map,.0%,5,30
Waterside,Stamford,1_neighborhood,Child low-income rate,0.664,Income by age: children,map,.0%,5,30
West Side,Stamford,1_neighborhood,Child low-income rate,0.534,Income by age: children,map,.0%,5,30
Stamford,Stamford,2_city,Child low-income rate,0.305,Income by age: children,map,.0%,5,30
Fairfield County,Stamford,3_county,Child low-income rate,0.258,Income by age: children,map,.0%,5,30
Connecticut,Stamford,4_state,Child low-income rate,0.301,Income by age: children,map,.0%,5,30
Belltown,Stamford,1_neighborhood,"Ages 65+, poverty status known",522,Income by age: seniors,table,",",1,31
Cove-East Side,Stamford,1_neighborhood,"Ages 65+, poverty status known",1734,Income by age: seniors,table,",",1,31
Downtown,Stamford,1_neighborhood,"Ages 65+, poverty status known",2154,Income by age: seniors,table,",",1,31
Glenbrook,Stamford,1_neighborhood,"Ages 65+, poverty status known",1749,Income by age: seniors,table,",",1,31
Newfield,Stamford,1_neighborhood,"Ages 65+, poverty status known",662,Income by age: seniors,table,",",1,31
North Stamford,Stamford,1_neighborhood,"Ages 65+, poverty status known",2422,Income by age: seniors,table,",",1,31
PH-Roxbury-Westover,Stamford,1_neighborhood,"Ages 65+, poverty status known",1203,Income by age: seniors,table,",",1,31
Ridgeway,Stamford,1_neighborhood,"Ages 65+, poverty status known",584,Income by age: seniors,table,",",1,31
Shippan,Stamford,1_neighborhood,"Ages 65+, poverty status known",368,Income by age: seniors,table,",",1,31
South End,Stamford,1_neighborhood,"Ages 65+, poverty status known",186,Income by age: seniors,table,",",1,31
Springdale,Stamford,1_neighborhood,"Ages 65+, poverty status known",866,Income by age: seniors,table,",",1,31
Turn of River,Stamford,1_neighborhood,"Ages 65+, poverty status known",2093,Income by age: seniors,table,",",1,31
Waterside,Stamford,1_neighborhood,"Ages 65+, poverty status known",633,Income by age: seniors,table,",",1,31
West Side,Stamford,1_neighborhood,"Ages 65+, poverty status known",1044,Income by age: seniors,table,",",1,31
Stamford,Stamford,2_city,"Ages 65+, poverty status known",16220,Income by age: seniors,table,",",1,31
Fairfield County,Stamford,3_county,"Ages 65+, poverty status known",130544,Income by age: seniors,table,",",1,31
Connecticut,Stamford,4_state,"Ages 65+, poverty status known",533413,Income by age: seniors,table,",",1,31
Belltown,Stamford,1_neighborhood,Seniors in poverty,11,Income by age: seniors,table,",",2,32
Cove-East Side,Stamford,1_neighborhood,Seniors in poverty,309,Income by age: seniors,table,",",2,32
Downtown,Stamford,1_neighborhood,Seniors in poverty,557,Income by age: seniors,table,",",2,32
Glenbrook,Stamford,1_neighborhood,Seniors in poverty,135,Income by age: seniors,table,",",2,32
Newfield,Stamford,1_neighborhood,Seniors in poverty,70,Income by age: seniors,table,",",2,32
North Stamford,Stamford,1_neighborhood,Seniors in poverty,49,Income by age: seniors,table,",",2,32
PH-Roxbury-Westover,Stamford,1_neighborhood,Seniors in poverty,65,Income by age: seniors,table,",",2,32
Ridgeway,Stamford,1_neighborhood,Seniors in poverty,18,Income by age: seniors,table,",",2,32
Shippan,Stamford,1_neighborhood,Seniors in poverty,1,Income by age: seniors,table,",",2,32
South End,Stamford,1_neighborhood,Seniors in poverty,95,Income by age: seniors,table,",",2,32
Springdale,Stamford,1_neighborhood,Seniors in poverty,33,Income by age: seniors,table,",",2,32
Turn of River,Stamford,1_neighborhood,Seniors in poverty,25,Income by age: seniors,table,",",2,32
Waterside,Stamford,1_neighborhood,Seniors in poverty,45,Income by age: seniors,table,",",2,32
West Side,Stamford,1_neighborhood,Seniors in poverty,170,Income by age: seniors,table,",",2,32
Stamford,Stamford,2_city,Seniors in poverty,1583,Income by age: seniors,table,",",2,32
Fairfield County,Stamford,3_county,Seniors in poverty,9121,Income by age: seniors,table,",",2,32
Connecticut,Stamford,4_state,Seniors in poverty,38003,Income by age: seniors,table,",",2,32
Belltown,Stamford,1_neighborhood,Senior poverty rate,0.0213,Income by age: seniors,map,.0%,3,33
Cove-East Side,Stamford,1_neighborhood,Senior poverty rate,0.178,Income by age: seniors,map,.0%,3,33
Downtown,Stamford,1_neighborhood,Senior poverty rate,0.259,Income by age: seniors,map,.0%,3,33
Glenbrook,Stamford,1_neighborhood,Senior poverty rate,0.077,Income by age: seniors,map,.0%,3,33
Newfield,Stamford,1_neighborhood,Senior poverty rate,0.105,Income by age: seniors,map,.0%,3,33
North Stamford,Stamford,1_neighborhood,Senior poverty rate,0.0202,Income by age: seniors,map,.0%,3,33
PH-Roxbury-Westover,Stamford,1_neighborhood,Senior poverty rate,0.054,Income by age: seniors,map,.0%,3,33
Ridgeway,Stamford,1_neighborhood,Senior poverty rate,0.0308,Income by age: seniors,map,.0%,3,33
Shippan,Stamford,1_neighborhood,Senior poverty rate,0.00272,Income by age: seniors,map,.0%,3,33
South End,Stamford,1_neighborhood,Senior poverty rate,0.511,Income by age: seniors,map,.0%,3,33
Springdale,Stamford,1_neighborhood,Senior poverty rate,0.0387,Income by age: seniors,map,.0%,3,33
Turn of River,Stamford,1_neighborhood,Senior poverty rate,0.0119,Income by age: seniors,map,.0%,3,33
Waterside,Stamford,1_neighborhood,Senior poverty rate,0.0711,Income by age: seniors,map,.0%,3,33
West Side,Stamford,1_neighborhood,Senior poverty rate,0.163,Income by age: seniors,map,.0%,3,33
Stamford,Stamford,2_city,Senior poverty rate,0.0976,Income by age: seniors,map,.0%,3,33
Fairfield County,Stamford,3_county,Senior poverty rate,0.0699,Income by age: seniors,map,.0%,3,33
Connecticut,Stamford,4_state,Senior poverty rate,0.0712,Income by age: seniors,map,.0%,3,33
Belltown,Stamford,1_neighborhood,Low-income seniors,82,Income by age: seniors,table,",",4,34
Cove-East Side,Stamford,1_neighborhood,Low-income seniors,582,Income by age: seniors,table,",",4,34
Downtown,Stamford,1_neighborhood,Low-income seniors,1026,Income by age: seniors,table,",",4,34
Glenbrook,Stamford,1_neighborhood,Low-income seniors,417,Income by age: seniors,table,",",4,34
Newfield,Stamford,1_neighborhood,Low-income seniors,164,Income by age: seniors,table,",",4,34
North Stamford,Stamford,1_neighborhood,Low-income seniors,124,Income by age: seniors,table,",",4,34
PH-Roxbury-Westover,Stamford,1_neighborhood,Low-income seniors,105,Income by age: seniors,table,",",4,34
Ridgeway,Stamford,1_neighborhood,Low-income seniors,75,Income by age: seniors,table,",",4,34
Shippan,Stamford,1_neighborhood,Low-income seniors,45,Income by age: seniors,table,",",4,34
South End,Stamford,1_neighborhood,Low-income seniors,150,Income by age: seniors,table,",",4,34
Springdale,Stamford,1_neighborhood,Low-income seniors,112,Income by age: seniors,table,",",4,34
Turn of River,Stamford,1_neighborhood,Low-income seniors,166,Income by age: seniors,table,",",4,34
Waterside,Stamford,1_neighborhood,Low-income seniors,111,Income by age: seniors,table,",",4,34
West Side,Stamford,1_neighborhood,Low-income seniors,288,Income by age: seniors,table,",",4,34
Stamford,Stamford,2_city,Low-income seniors,3447,Income by age: seniors,table,",",4,34
Fairfield County,Stamford,3_county,Low-income seniors,26616,Income by age: seniors,table,",",4,34
Connecticut,Stamford,4_state,Low-income seniors,122224,Income by age: seniors,table,",",4,34
Belltown,Stamford,1_neighborhood,Senior low-income rate,0.157,Income by age: seniors,map,.0%,5,35
Cove-East Side,Stamford,1_neighborhood,Senior low-income rate,0.336,Income by age: seniors,map,.0%,5,35
Downtown,Stamford,1_neighborhood,Senior low-income rate,0.476,Income by age: seniors,map,.0%,5,35
Glenbrook,Stamford,1_neighborhood,Senior low-income rate,0.238,Income by age: seniors,map,.0%,5,35
Newfield,Stamford,1_neighborhood,Senior low-income rate,0.247,Income by age: seniors,map,.0%,5,35
North Stamford,Stamford,1_neighborhood,Senior low-income rate,0.0512,Income by age: seniors,map,.0%,5,35
PH-Roxbury-Westover,Stamford,1_neighborhood,Senior low-income rate,0.0873,Income by age: seniors,map,.0%,5,35
Ridgeway,Stamford,1_neighborhood,Senior low-income rate,0.128,Income by age: seniors,map,.0%,5,35
Shippan,Stamford,1_neighborhood,Senior low-income rate,0.122,Income by age: seniors,map,.0%,5,35
South End,Stamford,1_neighborhood,Senior low-income rate,0.806,Income by age: seniors,map,.0%,5,35
Springdale,Stamford,1_neighborhood,Senior low-income rate,0.13,Income by age: seniors,map,.0%,5,35
Turn of River,Stamford,1_neighborhood,Senior low-income rate,0.0793,Income by age: seniors,map,.0%,5,35
Waterside,Stamford,1_neighborhood,Senior low-income rate,0.175,Income by age: seniors,map,.0%,5,35
West Side,Stamford,1_neighborhood,Senior low-income rate,0.276,Income by age: seniors,map,.0%,5,35
Stamford,Stamford,2_city,Senior low-income rate,0.213,Income by age: seniors,map,.0%,5,35
Fairfield County,Stamford,3_county,Senior low-income rate,0.204,Income by age: seniors,map,.0%,5,35
Connecticut,Stamford,4_state,Senior low-income rate,0.229,Income by age: seniors,map,.0%,5,35
